,Loss
0,68422.921875
1,68421.796875
2,68420.671875
3,68419.5234375
4,68418.375
5,68417.2265625
6,68416.0703125
7,68414.90625
8,68413.7421875
9,68412.578125
10,68411.40625
11,68410.2265625
12,68409.046875
13,68407.8671875
14,68406.6875
15,68405.5078125
16,68404.328125
17,68403.140625
18,68401.953125
19,68400.765625
20,68399.578125
21,68398.390625
22,68397.1953125
23,68396.0078125
24,68394.8125
25,68393.625
26,68392.4375
27,68391.234375
28,68390.046875
29,68388.859375
30,68387.6640625
31,68386.46875
32,68385.28125
33,68384.0859375
34,68382.8984375
35,68381.703125
36,68380.515625
37,68379.328125
38,68378.140625
39,68376.9375
40,68375.75
41,68374.5625
42,68373.375
43,68372.1796875
44,68370.9921875
45,68369.796875
46,68368.609375
47,68367.421875
48,68366.2421875
49,68365.046875
50,68363.859375
51,68362.6796875
52,68361.5
53,68360.3046875
54,68359.125
55,68357.9375
56,68356.75
57,68355.5625
58,68354.3828125
59,68353.203125
60,68352.015625
61,68350.8359375
62,68349.65625
63,68348.46875
64,68347.296875
65,68346.1171875
66,68344.9375
67,68343.75
68,68342.578125
69,68341.3984375
70,68340.21875
71,68339.046875
72,68337.8671875
73,68336.6875
74,68335.5078125
75,68334.3359375
76,68333.1640625
77,68331.984375
78,68330.8125
79,68329.640625
80,68328.4609375
81,68327.296875
82,68326.125
83,68324.953125
84,68323.78125
85,68322.609375
86,68321.4375
87,68320.265625
88,68319.109375
89,68317.9375
90,68316.765625
91,68315.6015625
92,68314.4375
93,68313.265625
94,68312.109375
95,68310.9375
96,68309.7734375
97,68308.609375
98,68307.453125
99,68306.28125
100,68305.125
101,68303.96875
102,68302.8046875
103,68301.640625
104,68300.484375
105,68299.328125
106,68298.171875
107,68297.015625
108,68295.8515625
109,68294.6953125
110,68293.5390625
111,68292.3828125
112,68291.234375
113,68290.078125
114,68288.921875
115,68287.7734375
116,68286.6171875
117,68285.46875
118,68284.3125
119,68283.1640625
120,68282.015625
121,68280.8671875
122,68279.71875
123,68278.578125
124,68277.421875
125,68276.28125
126,68275.125
127,68273.984375
128,68272.84375
129,68271.6953125
130,68270.5546875
131,68269.40625
132,68268.265625
133,68267.125
134,68265.984375
135,68264.8515625
136,68263.7109375
137,68262.5625
138,68261.4296875
139,68260.296875
140,68259.15625
141,68258.015625
142,68256.8828125
143,68255.75
144,68254.609375
145,68253.4765625
146,68252.34375
147,68251.2109375
148,68250.078125
149,68248.953125
150,68247.8203125
151,68246.6953125
152,68245.5625
153,68244.4296875
154,68243.3046875
155,68242.1796875
156,68241.046875
157,68239.9296875
158,68238.8046875
159,68237.671875
160,68236.546875
161,68235.4296875
162,68234.3046875
163,68233.1796875
164,68232.0625
165,68230.9375
166,68229.8203125
167,68228.703125
168,68227.5859375
169,68226.46875
170,68225.3515625
171,68224.234375
172,68223.109375
173,68222.0
174,68220.890625
175,68219.7734375
176,68218.65625
177,68217.546875
178,68216.4375
179,68215.328125
180,68214.21875
181,68213.109375
182,68212.0
183,68210.890625
184,68209.78125
185,68208.671875
186,68207.5625
187,68206.4609375
188,68205.3515625
189,68204.25
190,68203.15625
191,68202.046875
192,68200.9453125
193,68199.84375
194,68198.7421875
195,68197.640625
196,68196.546875
197,68195.453125
198,68194.34375
199,68193.25
